pdf_path,pdf_filename,well_family,rank,keyword,tfidf_score
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,5,gyro,0.134552
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,6,stuck,0.126152
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,7,drillstring,0.119222
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,8,worked string,0.117015
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,9,rotating,0.114322
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_02.pdf,15_9_19_A_1997_08_02.pdf,15_9_19,10,flow checked,0.112851
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,1,ties,0.248596
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,2,tih,0.226849
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,3,window window,0.188094
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,4,window,0.176794
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,5,cavings,0.169449
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,6,test tool,0.145452
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,7,pod,0.133847
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,8,condition,0.130518
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,9,safe valves,0.118457
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_03.pdf,15_9_19_A_1997_08_03.pdf,15_9_19,10,trip tih,0.118457
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,1,window,0.257831
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,2,oriented,0.238959
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,3,stand oriented,0.196436
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,4,rih problems,0.196436
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,5,shakers pooh,0.196436
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,6,window circulated,0.196436
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,7,rih established,0.196436
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_08_04.pdf,15_9_19_A_1997_08_04.pdf,15_9_19,8,established circ,0.196436
