op_id,well_family,pdf_path,report_date,start_time,end_depth_md,main_activity,sub_activity,state,severity_score,severity_contributors,remark
763,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_B_1997_11_24.pdf,1997-11-24,10:00,2131.0,interruption -,,fail,6,WAIT(+1)|state:fail(+5),CLOSED LOWER ANNULAR PREVENTER AND TESTED EX GASKET IN LMRP CONNECTOR TO 30 BAR. OPENED LPR AND CHECKED PRESSURE - 12 BAR. FLUSHED STACK - waiting on DOWN KILL LINE AND UP UPPER CHOKE THROUGH POOR BOY DEGASSER - MAX GAS 5.8% STABILIZED AT 4-5%. weather
6934,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2007_09_10.pdf,2007-09-10,18:00,0.0,interruption,other,ok,6,FISHING(+6),"Worked to release overshot lock ring. Used C-spanner, chain hoists and slings. Meanwhile worked on FWD PRS."
6935,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2007_09_11.pdf,2007-09-11,00:00,0.0,interruption,other,ok,6,FISHING(+6),"Worked to release overshot lock ring. Used C-spanner, chain hoist. Rigged up eagle clamp and sheave. Pulled on lock ring C-spanner with tugger. Lock ring came free an d was unscrewed by hand. Total thight turns approx 2,5. Meanwhile worked on FWD PRS."
6936,15_9_F_12,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_12_2007_09_11.pdf,2007-09-11,03:30,0.0,drilling,bop/wellhea,ok,6,FISHING(+6),"Removed tools and slings from BOP. Attached sling to overshot and lifted same to drillfloor with tugger. Installed masterbushing, bushings and hole cover. d equipment"
654,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_11_08.pdf,1997-11-08,21:30,0.0,plug,,ok,6,FISHING(+6),LAID DOWN CSG SPEAR ASSY. abandon -- cut
10266,15_9_F_15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_15_2007_12_28.pdf,2007-12-28,14:30,238.0,drilling,trip,ok,6,TIGHT_HOLE(+3)|text:overpull(+3),"POOH with 26"" drilling BHA from 798 m to 238 m. Worked through tight spot at 548 m. Overpull 15 - 20 tonnes."
499,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_10_17.pdf,1997-10-17,06:30,3604.0,interruption,other,fail,6,REPAIR(+1)|state:fail(+5),CHAMBER VALVE ON MDT NOT OPERATING. ATTEMPTED TO TROUBLESHOOT AND REPAIR WITHOUT SUCCESS.
3952,15_9_F_11,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_11_2013_03_11.pdf,2013-03-11,00:00,0.0,interruption -,,ok,6,FISHING(+6),"Evaluated situation and investigated further to determine details of fish in hole and laying on sea bed. Using a serial no. observed on top of fish at template funnel identified that the up - fish per most part of the fish was a 9 11/16"" OD wear sleeve which forms the upper part of 11 3/4"" stabilizer on the OnTrack tool. Length of fish in hole re-calculated to be 11,90 m, approximately 4-5 ton (in air). Length of BHA on seabed estimated to be 46.62 m. approximately 7 ton (in air)."
3821,15_9_F_10,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_10_2009_06_11.pdf,2009-06-11,14:30,1440.0,plug abandon,other,ok,6,FISHING(+6),Set hanger in slips. Released spear as per Smiths instruction.
3948,15_9_F_11,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_11_2013_03_10.pdf,2013-03-10,04:00,198.5,interruption,fi,ok,6,FISHING(+6),"Started POOH 36"" BHA from TD at 208 m. ROV moved towards F-11 well centre to observe POOH and observe 36"" hole opener assy had detached from string. ROV checked templ sh ate and observed 36"" hole opener fish sticking up out of F-11 well slot with top of fish approximately flush with top of F-11 guide funnel (Top of Fish (TOF) at ca. 140,20 mRKB)."
